timestamp,point_id,offshore_distance_km,VV,VH,VH_VV_ratio,incidence_angle,year,month,day,day_of_year
2020-01-02 06:01:25,AP_0001,20,-23.555657160621312,-26.95104343764789,1.1441431352933233,33.64518737792969,2020,1,2,2
2020-01-14 06:01:25,AP_0001,20,-23.602427918140535,-28.37893048152615,1.2023733566712624,33.640625,2020,1,14,14
2020-01-26 06:01:24,AP_0001,20,-16.49940621437872,-27.462694065475112,1.6644656000736697,33.63982009887695,2020,1,26,26
2020-02-07 06:01:24,AP_0001,20,-15.534069602877217,-28.41625880036257,1.82928617721008,33.63979721069336,2020,2,7,38
2020-02-19 06:01:24,AP_0001,20,-16.174673561015712,-26.920617434118963,1.6643685161599295,33.643714904785156,2020,2,19,50
2020-03-02 06:01:24,AP_0001,20,-19.853921400895914,-31.463172462876877,1.5847334049311332,33.644737243652344,2020,3,2,62
2020-03-14 06:01:27,AP_0001,20,-29.636667884831688,-25.577571507670697,0.8630380313692932,33.63771057128906,2020,3,14,74
2020-03-26 06:01:32,AP_0001,20,-22.067393654510575,-26.155763461992052,1.1852674525813707,33.634613037109375,2020,3,26,86
2020-04-07 06:01:32,AP_0001,20,-21.212404406262007,-28.654965344457658,1.3508589029161904,33.63407897949219,2020,4,7,98
2020-04-19 06:01:33,AP_0001,20,-18.970124523656715,-29.309093694564517,1.5450132474362295,33.63373947143555,2020,4,19,110
2020-05-01 06:01:33,AP_0001,20,-17.026525731390635,-24.212536045474312,1.4220479519691633,33.6375732421875,2020,5,1,122
2020-05-13 06:01:34,AP_0001,20,-15.846181978152494,-28.91256444333621,1.8245760703239837,33.64102554321289,2020,5,13,134
2020-05-25 06:01:35,AP_0001,20,-20.027569825920807,-34.15566634832389,1.7054323937054863,33.63676834106445,2020,5,25,146
2020-06-06 06:01:35,AP_0001,20,-15.031225143785711,-27.30855102236804,1.8167881035071904,33.63939666748047,2020,6,6,158
2020-06-18 06:01:36,AP_0001,20,-12.515287508372772,-25.64150733256746,2.0488148846291545,33.633018493652344,2020,6,18,170
2020-06-30 06:01:37,AP_0001,20,-19.59059711479191,-25.262362683067252,1.2895146857975488,33.64087677001953,2020,6,30,182
2020-07-12 06:01:38,AP_0001,20,-17.996164747310925,-25.80117730556323,1.433704217973364,33.64125061035156,2020,7,12,194
2020-07-24 06:01:38,AP_0001,20,-20.95990750121406,-27.91087019083037,1.331631362839444,33.63395309448242,2020,7,24,206
2020-08-05 06:01:39,AP_0001,20,-17.58550134297298,-29.71524769154051,1.6897583476296216,33.63652420043945,2020,8,5,218
2020-08-17 06:01:40,AP_0001,20,-16.10592072799615,-27.41786354317812,1.7023468577936662,33.63749313354492,2020,8,17,230
2020-08-29 06:01:41,AP_0001,20,-17.892428375978167,-26.173947448472042,1.4628504805760403,33.632381439208984,2020,8,29,242
2020-09-10 06:01:41,AP_0001,20,-22.20674276489097,-24.48354645022135,1.1025275840511841,33.63260269165039,2020,9,10,254
2020-09-22 06:01:41,AP_0001,20,-17.50213667695376,-24.47588341434496,1.3984511643412088,33.63349914550781,2020,9,22,266
2020-10-04 06:01:42,AP_0001,20,-22.311454214175267,-25.45728578737706,1.1409962588275906,33.63404083251953,2020,10,4,278
2020-10-16 06:01:42,AP_0001,20,-17.669870297681463,-25.03034746958675,1.4165552461848623,33.6342658996582,2020,10,16,290
2020-10-28 06:01:42,AP_0001,20,-16.532665638047067,-30.057502353664493,1.8180675162565652,33.63593292236328,2020,10,28,302
2020-11-09 06:01:42,AP_0001,20,-20.402386999771647,-27.02877738009775,1.3247850548271762,33.634315490722656,2020,11,9,314
2020-11-21 06:01:41,AP_0001,20,-22.412293118029282,-24.214127937783736,1.080394933720771,33.6339225769043,2020,11,21,326
2020-12-03 06:01:41,AP_0001,20,-18.00425862372689,-27.184989686245444,1.5099199725124888,33.634735107421875,2020,12,3,338
2020-12-15 06:01:40,AP_0001,20,-14.82685040085167,-26.39373439332171,1.780130889551946,33.63148880004883,2020,12,15,350
2021-01-08 06:01:39,AP_0001,20,-17.914271581190384,-29.444305449831162,1.6436228130395811,33.641937255859375,2021,1,8,8
2021-02-01 06:01:38,AP_0001,20,-17.057269336010922,-30.683885060023826,1.7988743951673847,33.63072204589844,2021,2,1,32
2021-02-13 06:01:38,AP_0001,20,-27.051612671172048,-30.125302620255976,1.1136231686608262,33.62944030761719,2021,2,13,44
2021-02-25 06:01:38,AP_0001,20,-21.33349804012162,-25.68763613303308,1.2040986473349422,33.63642501831055,2021,2,25,56
2021-03-09 06:01:38,AP_0001,20,-18.094990132483588,-27.552275213667365,1.5226466006304331,33.63917541503906,2021,3,9,68
2021-03-21 06:01:38,AP_0001,20,-20.952324182742295,-25.91291052596649,1.2367558987708893,33.64268112182617,2021,3,21,80
2021-04-02 06:01:38,AP_0001,20,-16.692216218331332,-27.147767090662267,1.6263728396262138,33.642765045166016,2021,4,2,92
2021-04-14 06:01:39,AP_0001,20,-19.375895395284864,-27.515456437822795,1.420086962511095,33.63700485229492,2021,4,14,104
