timestamp,point_id,offshore_distance_km,VV,VH,VH_VV_ratio,incidence_angle,year,month,day,day_of_year,latitude,longitude,ERA5_WindSpeed_100m_ms
2020-01-04 05:43:32,OD_0001,20,-18.45618681772523,-47.598856911647545,2.579019023904431,37.75617599487305,2020,1,4,4,19.11737,85.03324,6.819559574127197
2020-01-10 05:43:09,OD_0001,20,-18.541662434705508,-47.59859832892198,2.5671160014125225,37.74297332763672,2020,1,10,10,19.11737,85.03324,6.197235584259033
2020-01-16 05:43:32,OD_0001,20,-19.255789766028983,-38.60909811071253,2.005064376992036,37.755279541015625,2020,1,16,16,19.11737,85.03324,0.7272774577140808
2020-01-22 05:43:08,OD_0001,20,-18.59184120221707,-29.334095062662,1.5777939765946325,37.74493789672852,2020,1,22,22,19.11737,85.03324,3.325784683227539
2020-01-28 05:43:32,OD_0001,20,-31.282554668522444,-33.28676755382813,1.064068069457332,37.75214385986328,2020,1,28,28,19.11737,85.03324,5.523295879364014
2020-02-09 05:43:31,OD_0001,20,-21.02183127065401,-31.146510094237453,1.481626871285817,37.74489974975586,2020,2,9,40,19.11737,85.03324,8.019750595092773
2020-02-21 05:43:31,OD_0001,20,-21.055306843116423,-32.844874960531264,1.5599333320221445,37.74895477294922,2020,2,21,52,19.11737,85.03324,2.651850938796997
2020-03-04 05:43:31,OD_0001,20,-20.479018473403123,-29.71551285917164,1.451022318172343,37.75131607055664,2020,3,4,64,19.11737,85.03324,6.775014400482178
2020-03-16 05:43:31,OD_0001,20,-26.95100635603127,-29.16090921548973,1.081997044201799,37.74995803833008,2020,3,16,76,19.11737,85.03324,2.4788894653320312
2020-03-28 05:43:31,OD_0001,20,-25.13838439267584,-30.63345458889273,1.2185928144935956,37.74892044067383,2020,3,28,88,19.11737,85.03324,2.7771732807159424
2020-04-09 05:43:31,OD_0001,20,-16.26415062663472,-28.0914520953663,1.7272006845142465,37.74774932861328,2020,4,9,100,19.11737,85.03324,5.946637153625488
2020-04-21 05:43:32,OD_0001,20,-16.64681312684331,-32.16374268177344,1.9321261334945117,37.74640274047852,2020,4,21,112,19.11737,85.03324,7.553863525390625
2020-05-03 05:43:33,OD_0001,20,-15.34869838250174,-28.67840182760833,1.868458230979579,37.75056457519531,2020,5,3,124,19.11737,85.03324,9.772880554199219
2020-05-15 05:43:33,OD_0001,20,-21.328888451516427,-28.424789216962687,1.332689665548031,37.7539291381836,2020,5,15,136,19.11737,85.03324,6.132101058959961
2020-05-27 05:43:34,OD_0001,20,-21.211653994249023,-29.04375517891648,1.3692357600586411,37.752586364746094,2020,5,27,148,19.11737,85.03324,12.279361724853516
2020-06-08 05:43:35,OD_0001,20,-31.136763231759804,-29.81010615427609,0.9573925822793774,37.7520751953125,2020,6,8,160,19.11737,85.03324,4.853665351867676
2020-06-20 05:43:35,OD_0001,20,-16.95824316631668,-32.77340604045723,1.932594415531995,37.74654006958008,2020,6,20,172,19.11737,85.03324,6.797844886779785
2020-07-02 05:43:36,OD_0001,20,-17.68654727314374,-29.189479738048504,1.6503775037184034,37.75503921508789,2020,7,2,184,19.11737,85.03324,8.00978946685791
2020-07-14 05:43:37,OD_0001,20,-23.26220496829152,-37.64582347676217,1.6183256715378795,37.75494766235352,2020,7,14,196,19.11737,85.03324,3.259458541870117
2020-07-26 05:43:38,OD_0001,20,-20.275790411017457,-29.485510772438705,1.4542225074696409,37.747467041015625,2020,7,26,208,19.11737,85.03324,3.655407428741455
2020-08-07 05:43:38,OD_0001,20,-19.880146344676632,-26.17284476733699,1.316531795770476,37.75052261352539,2020,8,7,220,19.11737,85.03324,9.013334274291992
2020-08-19 05:43:39,OD_0001,20,-16.008627280592393,-27.60015142006976,1.7240798312251309,37.754615783691406,2020,8,19,232,19.11737,85.03324,7.82863187789917
2020-08-31 05:43:40,OD_0001,20,-17.345631128957475,-30.208413287095123,1.7415574597723351,37.74873352050781,2020,8,31,244,19.11737,85.03324,2.8336122035980225
2020-09-12 05:43:40,OD_0001,20,-21.982292445632755,-30.580614787875536,1.3911476641259506,37.74712371826172,2020,9,12,256,19.11737,85.03324,5.211120128631592
2020-09-24 05:43:40,OD_0001,20,-17.745605530104545,-29.539231420715296,1.6645941650513671,37.74671936035156,2020,9,24,268,19.11737,85.03324,9.645312309265137
2020-10-06 05:43:41,OD_0001,20,-18.479503261479305,-31.573257856257584,1.7085555498708849,37.74573516845703,2020,10,6,280,19.11737,85.03324,2.4338133335113525
2020-10-18 05:43:38,OD_0001,20,-19.620826986912316,-28.80352071961648,1.4680074768932674,37.75025177001953,2020,10,18,292,19.11737,85.03324,5.03082275390625
2020-10-30 05:43:38,OD_0001,20,-15.95721529277422,-26.619013068995557,1.668149021029329,37.75024032592773,2020,10,30,304,19.11737,85.03324,6.2819952964782715
2020-11-11 05:43:38,OD_0001,20,-20.916842303515285,-28.65828902853591,1.3701058990017627,37.75162124633789,2020,11,11,316,19.11737,85.03324,6.333896636962891
2020-11-23 05:43:38,OD_0001,20,-20.82558852350548,-27.407412517809608,1.3160450417463756,37.75341796875,2020,11,23,328,19.11737,85.03324,6.694003105163574
2020-12-05 05:43:37,OD_0001,20,-21.621606786882943,-29.46081267877974,1.3625635212574747,37.74899673461914,2020,12,5,340,19.11737,85.03324,4.6346211433410645
2020-12-17 05:43:37,OD_0001,20,-19.409538025576847,-28.12279988746802,1.4489164992185442,37.74575805664063,2020,12,17,352,19.11737,85.03324,5.2478532791137695
