point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
AP_0001,80.42248,13.65669,20,80.24041,13.62267
AP_0002,80.43009,13.75509,20,80.24462,13.75193
AP_0003,80.41459,13.8869,20,80.23668,13.83567
AP_0004,80.35582,14.02473,20,80.18388,13.95675
AP_0005,80.32309,14.11147,20,80.14454,14.06182
AP_0006,80.3119,14.18096,20,80.12958,14.1462
AP_0007,80.29348,14.21891,20,80.10912,14.24197
AP_0008,80.32277,14.23279,20,80.14903,14.29699
AP_0009,80.35922,14.38801,20,80.17542,14.41585
AP_0010,80.37403,14.54818,20,80.1879,14.54552
AP_0011,80.35276,14.62835,20,80.17298,14.58154
AP_0012,80.32216,14.75836,20,80.14748,14.6958
AP_0013,80.28581,14.80891,20,80.11706,14.73254
AP_0014,80.27812,14.84248,20,80.09537,14.80714
AP_0015,80.26895,14.92249,20,80.08622,14.88673
AP_0016,80.23948,15.02952,20,80.05375,15.0127
AP_0017,80.24636,15.11059,20,80.06238,15.14101
AP_0018,80.27194,15.18309,20,80.08956,15.22176
AP_0019,80.27478,15.24871,20,80.10005,15.31245
AP_0020,80.32768,15.33159,20,80.164,15.41859
AP_0021,80.364,15.40719,20,80.19786,15.48983
AP_0022,80.40467,15.48447,20,80.22692,15.54049
AP_0023,80.41558,15.56605,20,80.25059,15.65105
AP_0024,80.45069,15.59684,20,80.33134,15.73565
AP_0025,80.5338,15.65273,20,80.44313,15.81039
AP_0026,80.59532,15.6783,20,80.53733,15.84963
AP_0027,80.66614,15.69899,20,80.65302,15.87873
AP_0028,81.1613,15.89659,40,80.80321,15.7911
AP_0029,81.13687,15.93311,40,80.78937,15.79873
AP_0030,81.31061,16.0003,60,80.78937,15.79873
AP_0031,80.94176,15.54926,20,80.9178,15.72796
AP_0032,81.01257,15.55346,20,80.96472,15.72766
AP_0033,81.07487,15.59083,20,80.97459,15.74298
AP_0034,81.19491,15.69792,20,81.02029,15.76292
AP_0035,81.18045,15.76318,20,80.99786,15.80316
AP_0036,81.18996,15.76185,20,81.04639,15.87759
AP_0037,81.28799,15.86243,20,81.13702,15.9692
AP_0038,81.33516,15.97055,20,81.15788,16.02914
AP_0039,81.37352,16.08247,20,81.19562,16.13958
AP_0040,81.37785,16.11009,20,81.21464,16.19897
AP_0041,81.39013,16.13669,20,81.27445,16.27858
AP_0042,81.44649,16.1666,20,81.39449,16.33973
