point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
GA_0001,73.49143,15.66242,20,73.6621,15.73644
GA_0002,73.5629,15.57186,20,73.69859,15.69597
GA_0003,73.58783,15.56223,20,73.75948,15.63395
GA_0004,73.55063,15.59218,20,73.73704,15.60733
GA_0005,73.60316,15.41148,20,73.77166,15.48957
GA_0006,73.71639,15.3058,20,73.80601,15.46392
GA_0007,73.69516,15.41185,20,73.88115,15.42976
GA_0008,73.64704,15.48344,20,73.81244,15.39954
GA_0009,73.69851,15.24298,20,73.84299,15.35724
GA_0010,73.7439,15.19843,20,73.91041,15.28007
GA_0011,73.76036,15.13826,20,73.94632,15.15397
GA_0012,73.75181,15.03587,20,73.92616,15.10014
