point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
GJ_0001,68.05448,23.46522,20,68.17616,23.60676
GJ_0002,68.17429,23.44939,20,68.27037,23.60659
GJ_0003,68.23416,23.44694,40,68.45929,23.74256
GJ_0004,68.27488,23.46449,20,68.45415,23.53833
GJ_0005,68.28175,23.38664,20,68.44869,23.48162
GJ_0006,68.39821,23.30486,20,68.50526,23.45592
GJ_0007,68.43191,23.27475,20,68.57028,23.40257
GJ_0008,68.43763,23.25852,20,68.59233,23.36943
GJ_0009,68.45621,23.23954,20,68.61868,23.3406
GJ_0010,68.44137,23.27243,20,68.63359,23.30853
GJ_0011,68.43261,23.28082,20,68.62828,23.29365
GJ_0012,68.45762,23.32022,20,68.63782,23.24914
GJ_0013,68.27742,23.39129,40,68.63782,23.24914
GJ_0014,68.09722,23.46237,60,68.63782,23.24914
GJ_0015,68.40739,23.22487,20,68.60316,23.23513
GJ_0016,68.49245,23.04782,20,68.64374,23.16234
GJ_0017,68.65512,22.92624,20,68.75675,23.08026
GJ_0018,68.78655,22.86251,20,68.86727,23.02666
GJ_0019,68.90171,22.81457,20,68.97345,22.98221
GJ_0020,68.93535,22.80388,20,69.01016,22.97037
GJ_0021,68.94167,22.80688,20,69.07158,22.94161
GJ_0022,68.95668,22.76761,20,69.09142,22.89822
GJ_0023,69.09208,22.68865,20,69.15995,22.85763
GJ_0024,69.02422,22.51967,40,69.15995,22.85763
GJ_0025,68.95635,22.35069,60,69.15995,22.85763
GJ_0026,68.88848,22.18172,80,69.15995,22.85763
GJ_0027,69.1752,22.67441,20,69.22609,22.84838
GJ_0028,69.12432,22.50043,40,69.22609,22.84838
GJ_0029,69.02254,22.15249,80,69.22609,22.84838
GJ_0030,69.25308,22.64623,20,69.28446,22.82407
GJ_0031,69.2217,22.46838,40,69.28446,22.82407
GJ_0032,69.19032,22.29054,60,69.28446,22.82407
GJ_0033,69.27735,22.69225,20,69.36923,22.85129
GJ_0034,69.18546,22.53321,40,69.36923,22.85129
GJ_0035,69.35316,22.62108,20,69.43726,22.78372
GJ_0036,69.26905,22.45844,40,69.43726,22.78372
GJ_0037,69.18495,22.2958,60,69.43726,22.78372
GJ_0038,69.47962,22.60612,20,69.51022,22.78408
GJ_0039,69.44902,22.42816,40,69.51022,22.78408
GJ_0040,69.52721,22.58704,20,69.57294,22.76221
GJ_0041,69.48149,22.41186,40,69.57294,22.76221
GJ_0042,69.63898,22.56883,20,69.66046,22.74792
GJ_0043,69.6175,22.38974,40,69.66046,22.74792
GJ_0044,70.1489,22.87847,20,70.2181,23.04703
GJ_0045,70.07971,22.70992,40,70.2181,23.04703
GJ_0046,70.16209,22.80096,20,70.26464,22.95441
GJ_0047,70.05955,22.6475,40,70.26464,22.95441
GJ_0048,70.14417,22.86328,20,70.32026,22.78512
GJ_0049,70.10116,22.79522,20,70.27209,22.70803
GJ_0050,69.93024,22.88242,40,70.27209,22.70803
GJ_0051,70.09739,22.7776,20,70.26477,22.68478
GJ_0052,69.93001,22.87043,40,70.26477,22.68478
GJ_0053,70.04096,22.69469,20,70.21452,22.61225
