point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
KA_0001,74.02668,14.7138,20,74.14692,14.85149
KA_0002,74.09325,14.59547,20,74.16626,14.76125
KA_0003,74.12639,14.58597,20,74.22783,14.7371
KA_0004,74.09912,14.60547,20,74.25557,14.70328
KA_0005,74.13709,14.5379,20,74.29121,14.63904
KA_0006,74.13407,14.58966,20,74.31913,14.60957
KA_0007,74.11717,14.54194,20,74.2967,14.5897
KA_0008,74.23626,14.36977,20,74.34483,14.51612
KA_0009,74.2084,14.44655,20,74.36885,14.53788
KA_0010,74.186,14.44057,20,74.36848,14.4759
KA_0011,74.21487,14.36361,20,74.39394,14.41244
KA_0012,74.26327,14.19286,20,74.42154,14.28743
KA_0013,74.34053,14.15513,20,74.47741,14.27707
KA_0014,74.20365,14.0332,40,74.47741,14.27707
KA_0015,74.28343,14.31232,20,74.45729,14.24854
KA_0016,74.26858,14.17464,20,74.45124,14.20793
KA_0017,74.31284,14.02919,20,74.48649,14.09322
KA_0018,74.1392,13.96516,40,74.48649,14.09322
KA_0019,74.34807,13.95883,20,74.52045,14.02588
KA_0020,74.17569,13.89178,40,74.52045,14.02588
KA_0021,74.37747,13.87126,20,74.54203,13.95468
KA_0022,74.42784,13.8052,20,74.59706,13.87922
KA_0023,74.45301,13.70676,20,74.63123,13.75674
KA_0024,74.51283,13.5367,20,74.6671,13.63665
KA_0025,74.54363,13.55723,20,74.70443,13.64694
KA_0026,74.5016,13.65665,20,74.68122,13.61205
KA_0027,74.49575,13.52645,20,74.67956,13.54957
KA_0028,74.51798,13.43084,20,74.70125,13.45727
KA_0029,74.51521,13.42481,20,74.69997,13.41192
KA_0030,74.51212,13.3404,20,74.69493,13.36923
KA_0031,74.53972,13.25241,20,74.71786,13.30152
KA_0032,74.57165,13.12679,20,74.7497,13.17589
KA_0033,74.59768,13.04884,20,74.77786,13.08964
KA_0034,74.60623,12.97875,20,74.78861,13.00854
KA_0035,74.62735,12.87319,20,74.80708,12.91534
KA_0036,74.66989,12.78296,20,74.81648,12.8927
KA_0037,74.69048,12.78579,20,74.86792,12.83612
KA_0038,74.66327,12.76082,20,74.84416,12.79755
KA_0039,74.73133,12.6161,20,74.89726,12.69523
KA_0040,74.76342,12.54528,20,74.93525,12.61122
KA_0041,74.79929,12.44623,20,74.96103,12.53305
KA_0042,74.83664,12.41019,20,75.00375,12.48663
KA_0043,74.84297,12.35235,20,75.01373,12.42058
KA_0044,74.91211,12.22692,20,75.07702,12.30758
KA_0045,74.94577,12.14764,20,75.11725,12.2138
KA_0046,74.9833,12.04509,20,75.15202,12.11757
KA_0047,75.12503,11.96251,20,75.30921,11.96208
