point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
KL_0001,75.17359,11.8606,20,75.3391,11.93963
KL_0002,75.18437,11.79267,20,75.33704,11.89339
KL_0003,75.29343,11.68753,20,75.42235,11.81614
KL_0004,75.32151,11.65378,20,75.4574,11.7753
KL_0005,75.35521,11.61959,20,75.49728,11.73412
KL_0006,75.39908,11.56145,20,75.55589,11.65568
KL_0007,75.42097,11.51511,20,75.59374,11.57691
KL_0008,75.4676,11.37859,20,75.62055,11.47857
KL_0009,75.57607,11.27901,20,75.71042,11.40197
KL_0010,75.57258,11.2811,20,75.74379,11.34657
KL_0011,75.59837,11.18562,20,75.77307,11.24135
KL_0012,75.63228,11.09982,20,75.80056,11.172
KL_0013,75.71647,10.99435,20,75.81443,11.14675
KL_0014,75.67616,11.08134,20,75.84937,11.14122
KL_0015,75.67409,11.00185,20,75.85526,11.03089
KL_0016,75.7094,10.86353,20,75.88793,10.90513
KL_0017,75.76282,10.6805,20,75.91429,10.78211
KL_0018,75.79613,10.7163,20,75.95189,10.81147
KL_0019,75.75735,10.71683,20,75.93886,10.74261
KL_0020,75.80842,10.57003,20,75.97634,10.64235
KL_0021,75.87363,10.43987,20,76.03121,10.53187
KL_0022,75.87328,10.4616,20,76.04227,10.53133
KL_0023,75.87701,10.42726,20,76.04878,10.48999
KL_0024,75.93107,10.3057,20,76.10253,10.3691
KL_0025,75.98378,10.15209,20,76.14122,10.24407
KL_0026,76.03039,10.14125,20,76.20419,10.19786
KL_0027,75.99369,10.14207,20,76.17665,10.137
KL_0028,76.03335,9.98883,20,76.20038,10.06243
KL_0029,76.12823,9.8547,20,76.23872,9.99831
KL_0030,76.12384,9.90436,20,76.27498,10.00591
KL_0031,76.09867,10.03385,20,76.26526,9.95941
KL_0032,76.06136,9.93179,20,76.24418,9.93802
KL_0033,76.09055,9.77875,20,76.27038,9.81138
KL_0034,76.1078,9.67039,20,76.28875,9.69593
KL_0035,76.12503,9.53796,20,76.30542,9.56664
KL_0036,76.15533,9.38755,20,76.32993,9.44046
KL_0037,76.21309,9.24947,20,76.38134,9.31946
KL_0038,76.24284,9.17818,20,76.4095,9.25171
KL_0039,76.41089,8.97472,20,76.45758,9.1489
KL_0040,76.42808,9.06521,20,76.43372,9.2453
KL_0041,76.42244,8.88511,40,76.43372,9.2453
KL_0042,76.30786,9.08502,20,76.47875,9.14825
KL_0043,76.30044,9.0866,20,76.47865,9.1254
KL_0044,76.32629,8.99757,20,76.49949,9.05421
KL_0045,76.38842,8.83652,20,76.54225,8.93333
KL_0046,76.44057,9.09741,20,76.55918,8.96052
KL_0047,76.32195,9.2343,40,76.55918,8.96052
KL_0048,76.20334,9.37118,60,76.55918,8.96052
KL_0049,76.72337,8.64438,40,76.60149,8.98404
KL_0050,76.78432,8.47455,60,76.60149,8.98404
KL_0051,76.84526,8.30473,80,76.60149,8.98404
KL_0052,76.60809,8.82149,20,76.65681,8.99513
KL_0053,76.55938,8.64785,40,76.65681,8.99513
KL_0054,76.35701,9.17418,40,76.65673,8.96873
KL_0055,76.20715,9.27691,60,76.65673,8.96873
KL_0056,76.66019,8.78038,20,76.63123,8.95827
KL_0057,76.68916,8.60248,40,76.63123,8.95827
KL_0058,76.71812,8.42459,60,76.63123,8.95827
KL_0059,76.3661,9.23361,40,76.60375,8.96021
KL_0060,76.24727,9.37031,60,76.60375,8.96021
KL_0061,76.12844,9.50702,80,76.60375,8.96021
KL_0062,76.45075,9.03406,20,76.60169,8.93291
KL_0063,76.29982,9.13522,40,76.60169,8.93291
KL_0064,76.38536,8.82484,20,76.55566,8.88932
KL_0065,76.51546,8.68637,20,76.64925,8.80879
KL_0066,76.58414,8.59252,20,76.72796,8.70323
KL_0067,76.66934,8.48772,20,76.81168,8.60021
KL_0068,76.75084,8.38452,20,76.88715,8.50405
KL_0069,76.81636,8.32178,20,76.95648,8.43691
KL_0070,76.86997,8.24177,20,77.0015,8.36639
KL_0071,76.98751,8.14455,20,77.10329,8.28361
