point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
MH_0001,72.53092,19.98542,20,72.72203,20.0
MH_0002,72.5443,20.02714,20,72.72476,19.96636
MH_0003,72.4979,19.9377,20,72.68291,19.89084
MH_0004,72.49475,19.77047,20,72.68208,19.80789
MH_0005,72.52683,19.70654,20,72.71417,19.74359
MH_0006,72.52252,19.65382,20,72.71382,19.65686
MH_0007,72.54596,19.49306,20,72.71705,19.57356
MH_0008,72.73525,19.33956,20,72.78545,19.51342
MH_0009,72.68504,19.16571,40,72.78545,19.51342
MH_0010,72.63484,18.99185,60,72.78545,19.51342
MH_0011,72.72982,19.41404,20,72.87585,19.53033
MH_0012,72.5838,19.29774,40,72.87585,19.53033
MH_0013,72.65625,19.61342,20,72.80068,19.4954
MH_0014,72.51181,19.73143,40,72.80068,19.4954
MH_0015,72.57514,19.37539,20,72.76416,19.40148
MH_0016,72.70802,19.18772,20,72.82485,19.33024
MH_0017,72.73464,19.36402,20,72.90857,19.28977
MH_0018,72.5607,19.43826,40,72.90857,19.28977
MH_0019,72.71479,19.45105,20,72.80849,19.29406
MH_0020,72.62109,19.60803,40,72.80849,19.29406
MH_0021,72.52738,19.76501,60,72.80849,19.29406
MH_0022,72.61998,19.11994,20,72.78037,19.21755
MH_0023,72.64616,19.23901,20,72.83663,19.2504
MH_0024,72.59337,19.18042,20,72.78358,19.16688
MH_0025,72.6631,19.09377,20,72.83124,19.17889
MH_0026,72.63684,19.09188,20,72.82736,19.08519
MH_0027,72.63784,19.05057,20,72.82526,19.01789
MH_0028,72.61136,18.95263,20,72.80174,18.94623
MH_0029,72.72094,19.0582,20,72.82125,18.90503
MH_0030,72.62064,19.21136,40,72.82125,18.90503
MH_0031,72.71807,19.10482,20,72.85417,18.97872
MH_0032,72.58196,19.23091,40,72.85417,18.97872
MH_0033,72.78204,19.12965,20,72.92968,19.01571
MH_0034,72.6344,19.24358,40,72.92968,19.01571
MH_0035,72.76197,19.13568,20,72.94709,19.09256
MH_0036,72.67002,19.37055,40,72.95924,19.1356
MH_0037,72.80833,19.05826,20,72.98186,19.13299
MH_0038,72.63479,18.98353,40,72.98186,19.13299
MH_0039,72.80443,19.02291,20,72.98713,19.0744
MH_0040,72.62174,18.97143,40,72.98713,19.0744
MH_0041,72.87815,18.8822,20,73.02113,19.00132
MH_0042,72.73518,18.76308,40,73.02113,19.00132
MH_0043,72.73752,19.45988,60,73.04761,19.00577
MH_0044,72.63415,19.61126,80,73.04761,19.00577
MH_0045,72.70607,19.22897,40,72.96709,18.96644
MH_0046,72.57556,19.36024,60,72.96709,18.96644
MH_0047,72.81033,19.03515,20,72.95868,18.92215
MH_0048,72.66197,19.14816,40,72.95868,18.92215
MH_0049,72.73067,18.83039,20,72.90882,18.89407
MH_0050,72.83221,18.74596,20,72.98429,18.85437
MH_0051,72.68014,18.63754,40,72.98429,18.85437
MH_0052,72.78925,18.78458,20,72.97877,18.80122
MH_0053,72.88995,18.57788,20,72.99606,18.72744
MH_0054,72.78384,18.42833,40,72.99606,18.72744
MH_0055,72.81047,18.4862,40,72.94694,18.82261
MH_0056,72.74224,18.31799,60,72.94694,18.82261
MH_0057,72.69301,18.85589,20,72.86458,18.77792
MH_0058,72.68014,18.61164,20,72.86533,18.65261
MH_0059,72.76337,18.46491,20,72.91122,18.57815
MH_0060,72.86764,18.3605,20,72.98995,18.49838
MH_0061,72.74533,18.22262,40,72.98995,18.49838
MH_0062,73.06673,18.19343,40,72.95807,18.53875
MH_0063,72.71577,18.51411,20,72.90039,18.47166
MH_0064,72.74151,18.30333,20,72.91742,18.3711
MH_0065,72.85857,18.15654,20,72.96876,18.30324
MH_0066,73.03991,17.91315,40,73.05466,18.27324
MH_0067,73.03254,17.7331,60,73.05466,18.27324
MH_0068,73.02516,17.55306,80,73.05466,18.27324
MH_0069,72.88292,18.24079,20,73.06231,18.29961
MH_0070,72.88798,18.19029,20,73.07654,18.20989
