point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
OD_0001,85.03324,19.11737,20,84.90124,19.24751
OD_0002,85.08077,19.15505,20,84.96928,19.3013
OD_0003,85.18554,19.22582,20,85.07857,19.3751
OD_0004,85.21362,19.24645,20,85.08434,19.37908
OD_0005,85.30269,19.33058,20,85.18253,19.47069
OD_0006,85.39858,19.39803,20,85.2953,19.54966
OD_0007,85.50305,19.46,20,85.41538,19.62014
OD_0008,85.63876,19.52143,20,85.54199,19.67687
OD_0009,85.6208,19.52852,20,85.52695,19.68555
OD_0010,85.69825,19.55976,20,85.63754,19.73063
OD_0011,85.67665,19.54445,20,85.61701,19.71566
OD_0012,85.80984,19.59634,20,85.74533,19.76598
OD_0013,85.92809,19.6349,20,85.87534,19.80811
OD_0014,86.03141,19.65997,20,85.98739,19.83533
OD_0015,86.10827,19.67735,20,86.06142,19.85206
OD_0016,86.24243,19.71324,20,86.18576,19.88536
OD_0017,86.30827,19.73885,20,86.24359,19.90846
OD_0018,86.4846,19.80661,20,86.37113,19.95183
OD_0019,86.47985,19.85484,20,86.34515,19.98306
OD_0020,86.5468,19.86521,20,86.42176,20.00181
OD_0021,86.65043,20.00899,20,86.48971,20.10741
OD_0022,86.68336,20.06474,20,86.54281,20.18747
OD_0023,86.69074,20.06354,20,86.59337,20.21883
OD_0024,86.79026,20.12037,20,86.68721,20.27242
OD_0025,86.90182,20.19738,20,86.80018,20.3503
OD_0026,86.81973,20.13898,20,86.72193,20.29406
OD_0027,86.96411,20.35038,20,86.77336,20.37253
OD_0028,86.89727,20.49363,20,86.74141,20.38818
OD_0029,87.05313,20.59909,40,86.74141,20.38818
OD_0030,87.20899,20.70454,60,86.74141,20.38818
OD_0031,86.92554,20.40422,20,86.73469,20.4261
OD_0032,86.92781,20.41035,20,86.75343,20.48638
OD_0033,86.90843,20.38615,20,86.77757,20.51822
OD_0034,86.97556,20.44237,20,86.86476,20.5897
OD_0035,87.08865,20.51221,20,86.98292,20.6628
OD_0036,87.23494,20.71376,20,87.04248,20.70645
OD_0037,87.00282,20.88358,20,86.98122,20.70454
OD_0038,87.02441,21.06263,40,86.98122,20.70454
OD_0039,87.04601,21.24167,60,86.98122,20.70454
OD_0040,87.0676,21.42072,80,86.98122,20.70454
OD_0041,87.14767,20.8271,20,87.00016,20.71122
OD_0042,87.06852,20.89121,20,86.928,20.76792
OD_0043,87.10915,20.73259,20,86.9264,20.78982
OD_0044,87.14989,20.8756,20,86.95804,20.8576
OD_0045,87.08147,21.05147,20,86.90806,20.97244
OD_0046,87.03005,21.1417,20,86.846,21.08714
OD_0047,87.02303,21.1682,20,86.83398,21.20563
OD_0048,87.04699,21.19042,20,86.89039,21.29613
OD_0049,87.11524,21.27394,20,86.9688,21.39171
OD_0050,87.18851,21.35441,20,87.04666,21.47706
OD_0051,87.17537,21.36355,20,87.09492,21.52745
OD_0052,87.20963,21.35821,20,87.17441,21.53539
OD_0053,87.21157,21.3656,20,87.18446,21.54401
OD_0054,87.35947,21.37948,20,87.3218,21.55622
OD_0055,87.42446,21.40845,20,87.36367,21.57953
OD_0056,87.53197,21.43541,20,87.48573,21.61039
OD_0057,87.66005,21.46604,20,87.61476,21.64123
OD_0058,87.78869,21.49758,20,87.72668,21.6683
OD_0059,87.92282,21.56425,20,87.80018,21.70382
OD_0060,88.04547,21.42468,40,87.80018,21.70382
OD_0061,88.00833,21.6584,20,87.88384,21.79662
OD_0062,88.13282,21.52018,40,87.88384,21.79662
OD_0063,88.25731,21.38196,60,87.88384,21.79662
OD_0064,88.14521,21.52104,40,87.96081,21.83816
