point_id,latitude,longitude,offshore_distance_km,Mean (m/s),Std Dev (m/s),Sample Count
GJ_0164,21.74949,72.26383,60,3.24,1.19,147
GJ_0171,21.54399,72.2762,60,3.3,1.24,147
GJ_0134,22.1241,72.34247,20,3.37,1.07,147
GJ_0159,21.83174,72.29541,60,3.4,1.22,147
GJ_0135,22.0248,72.32063,20,3.41,1.14,147
GJ_0161,21.52728,72.31838,40,3.44,1.25,147
GJ_0174,21.64511,72.30536,60,3.51,1.34,147
GJ_0218,21.76116,72.31334,20,3.52,1.25,147
GJ_0128,21.50757,72.37434,80,3.57,1.44,147
GJ_0125,22.04687,72.41388,20,3.58,1.24,147
