point_id,latitude,longitude,offshore_distance_km,Mean (m/s),Std Dev (m/s),Sample Count
GJ_0065,22.7329,69.67881,40,19.65,5.59,152
GJ_0050,22.88242,69.93024,40,11.89,3.61,152
GJ_0129,21.93871,72.54249,40,11.21,3.19,147
GJ_0186,21.73614,72.23998,80,9.73,5.67,288
GJ_0001,23.46522,68.05448,20,8.61,3.12,148
GJ_0111,21.2796,69.68281,20,8.27,3.34,152
GJ_0175,21.79266,72.19443,80,8.15,5.12,288
GJ_0110,21.33028,69.66682,20,7.86,2.67,152
GJ_0062,22.60345,69.77151,20,7.49,2.66,152
GJ_0007,23.27475,68.43191,20,7.45,4.76,300
